Entity,"Real GDP per capita in 2011US$, multiple benchmarks (Maddison Project Database (2018))",Life expectancy
Qatar,139783,79.868
Norway,76397,82.029
United Arab Emirates,70284,77.47
Luxembourg,69057,81.803
Kuwait,67798,75.22399999999999
Singapore,67180,83.083
Switzerland,61844,83.31
Ireland,55653,81.615
United States,53015,78.885
Netherlands,49254,81.862
Saudi Arabia,47474,74.76100000000001
Hong Kong,47043,84.277
Germany,46841,80.902
Denmark,45141,80.583
Austria,45010,81.258
Australia,44783,82.959
Sweden,44371,82.382
Iceland,42980,82.601
Canada,42969,82.117
Taiwan,42304,79.92699999999999
Bahrain,39773,76.899
Belgium,39733,81.139
United Kingdom,39162,81.111
France,38758,82.32799999999999
Finland,38335,81.382
